intersection_group,movement_key,inter_id,approach_node,dir_code,direction,event_time_sec,green
15,215173_216151_s,215173,216151,s,직진,1497.0,0
15,215173_216151_s,215173,216151,s,직진,1497.0,0
15,215173_216151_s,215173,216151,s,직진,1497.0,0
15,215173_216151_s,215173,216151,s,직진,1560.0,1
15,215173_216151_s,215173,216151,s,직진,1560.0,1
15,215173_216151_s,215173,216151,s,직진,1560.0,1
15,215173_216151_s,215173,216151,s,직진,1560.0,1
15,215173_216151_s,215173,216151,s,직진,1677.0,0
15,215173_216151_s,215173,216151,s,직진,1677.0,0
15,215173_216151_s,215173,216151,s,직진,1677.0,0
15,215173_216151_s,215173,216151,s,직진,1677.0,0
15,215173_216151_s,215173,216151,s,직진,1917.0,1
15,215173_216151_s,215173,216151,s,직진,1917.0,1
15,215173_216151_s,215173,216151,s,직진,1917.0,1
15,215173_216151_s,215173,216151,s,직진,1917.0,1
15,215173_216151_s,215173,216151,s,직진,1977.0,0
15,215173_216151_s,215173,216151,s,직진,1977.0,0
15,215173_216151_s,215173,216151,s,직진,1977.0,0
15,215173_216151_s,215173,216151,s,직진,1977.0,0
15,215173_216151_s,215173,216151,s,직진,2040.0,1
15,215173_216151_s,215173,216151,s,직진,2040.0,1
15,215173_216151_s,215173,216151,s,직진,2040.0,1
15,215173_216151_s,215173,216151,s,직진,2040.0,1
15,215173_216151_s,215173,216151,s,직진,2157.0,0
15,215173_216151_s,215173,216151,s,직진,2157.0,0
15,215173_216151_s,215173,216151,s,직진,2157.0,0
15,215173_216151_s,215173,216151,s,직진,2157.0,0
15,215173_216151_s,215173,216151,s,직진,2220.0,1
15,215173_216151_s,215173,216151,s,직진,2220.0,1
15,215173_216151_s,215173,216151,s,직진,2220.0,1
15,215173_216151_s,215173,216151,s,직진,2220.0,1
15,215173_216151_s,215173,216151,s,직진,2277.0,0
15,215173_216151_s,215173,216151,s,직진,2277.0,0
15,215173_216151_s,215173,216151,s,직진,2277.0,0
15,215173_216151_s,215173,216151,s,직진,2277.0,0
15,215173_216151_s,215173,216151,s,직진,2397.0,1
15,215173_216151_s,215173,216151,s,직진,2397.0,1
15,215173_216151_s,215173,216151,s,직진,2397.0,1
15,215173_216151_s,215173,216151,s,직진,2397.0,1
15,215173_216151_s,215173,216151,s,직진,2457.0,0
15,215173_216151_s,215173,216151,s,직진,2457.0,0
15,215173_216151_s,215173,216151,s,직진,2457.0,0
15,215173_216151_s,215173,216151,s,직진,2457.0,0
15,215173_216151_s,215173,216151,s,직진,2520.0,1
15,215173_216151_s,215173,216151,s,직진,2520.0,1
15,215173_216151_s,215173,216151,s,직진,2520.0,1
15,215173_216151_s,215173,216151,s,직진,2520.0,1
15,215173_216151_s,215173,216151,s,직진,2637.0,0
15,215173_216151_s,215173,216151,s,직진,2637.0,0
15,215173_216151_s,215173,216151,s,직진,2637.0,0
15,215173_216151_s,215173,216151,s,직진,2637.0,0
15,215173_216151_s,215173,216151,s,직진,2877.0,1
15,215173_216151_s,215173,216151,s,직진,2877.0,1
15,215173_216151_s,215173,216151,s,직진,2877.0,1
15,215173_216151_s,215173,216151,s,직진,2877.0,1
15,215173_216151_s,215173,216151,s,직진,2937.0,0
15,215173_216151_s,215173,216151,s,직진,2937.0,0
15,215173_216151_s,215173,216151,s,직진,2937.0,0
15,215173_216151_s,215173,216151,s,직진,2937.0,0
15,215173_216151_s,215173,216151,s,직진,3000.0,1
15,215173_216151_s,215173,216151,s,직진,3000.0,1
15,215173_216151_s,215173,216151,s,직진,3000.0,1
