intersection_group,inter_id,approach_node,leg_compass,leg_bearing,is_link_leg,from_inter_ids,n_origins,total_veh_hour,arrival_per_min,mean_interarrival_sec,ratio_left,ratio_straight,ratio_right,green_s_n,green_s_total_sec,green_s_first_start_sec,green_l_n,green_l_total_sec,green_l_first_start_sec,green_r_n,green_r_total_sec,green_r_first_start_sec
15,215173,216151,SW,244.7,False,215121|215147|215828,3,4535,75.583,0.79,0.1475,0.8525,0.0,88,6768.0,0.0,14,798.0,300.0,0,0.0,
15,215173,216286,NW,336.6,False,215428,1,771,12.85,4.67,0.2782,0.7218,0.0,48,2736.0,60.0,9,513.0,120.0,0,0.0,
15,215173,216287,S,157.7,False,215448|215449|215450|217073|SN20220927003657G,5,3070,51.167,1.17,0.2345,0.7655,0.0,48,2736.0,60.0,9,513.0,120.0,0,0.0,
15,215173,216288,NE,67.2,True,215174|217446,2,5331,88.85,0.68,0.166,0.7424,0.0916,88,5112.0,180.0,7,399.0,1020.0,1,3600.0,0.0
16,215174,215431,NW,337.5,False,214953|217645,2,2452,40.867,1.47,0.0845,0.708,0.2075,60,3420.0,60.0,13,741.0,240.0,1,3600.0,0.0
16,215174,215432,E,68.3,False,214964|216827,2,5143,85.717,0.7,0.1551,0.7379,0.1071,92,5244.0,0.0,9,513.0,180.0,1,3600.0,0.0
16,215174,215433,S,157.7,False,215011,1,1995,33.25,1.8,0.2674,0.4711,0.2615,45,2565.0,60.0,13,741.0,240.0,1,3600.0,0.0
16,215174,215434,SW,246.9,True,215173|215997|217715,3,7921,132.017,0.45,0.172,0.6559,0.172,92,5244.0,0.0,9,513.0,180.0,1,3600.0,0.0
