intersection_group,time_bin,vehicle_count,arrival_rate_per_min,mean_interarrival_sec,avg_speed,avg_delay,queue_ratio,long_queue_ratio,direction_imbalance,signal_imbalance,bottleneck_score
15,2022-05-09 00:00:00,146,29.2,2.0547945205479454,10.579953379099246,0.2581268059920515,0.0136986301369863,0.00684931506849315,0.15406267592418837,0.0,0.3422500957763689
15,2022-05-09 00:05:00,233,46.6,1.2875536480686696,11.057377395763698,0.23263666680694234,0.004291845493562232,0.004291845493562232,0.1840704378419201,0.0,0.27278957992074165
15,2022-05-09 00:10:00,227,45.4,1.3215859030837005,11.459084330573837,0.20127277202419835,0.013215859030837005,0.004405286343612335,0.1892332472976382,0.0,0.2702718258605032
15,2022-05-09 00:15:00,123,24.6,2.4390243902439024,10.939477102882174,0.2377455738513511,0.016260162601626018,0.008130081300813009,0.15989159891598914,0.0,0.319652704200564
15,2022-05-09 00:20:00,227,45.4,1.3215859030837005,10.930085154707633,0.22610000385527124,0.0,0.0,0.18275146034271963,0.0,0.25222440602025453
15,2022-05-09 00:25:00,173,34.6,1.7341040462427746,11.37314378260228,0.215275349897297,0.005780346820809248,0.0,0.19957232116007884,0.0,0.2528724980680247
15,2022-05-09 00:30:00,94,18.8,3.1914893617021276,10.646470679123299,0.2409847723556377,0.010638297872340425,0.0,0.15482118605703937,0.0,0.3060925597842199
15,2022-05-09 00:35:00,167,33.4,1.7964071856287425,10.692001437783981,0.25536872619562406,0.023952095808383235,0.011976047904191617,0.18154110939797052,0.0,0.40085178184520537
15,2022-05-09 00:40:00,189,37.8,1.5873015873015872,11.33684698825442,0.225443396226274,0.0,0.0,0.1793622798913804,0.0,0.22489719294513813
15,2022-05-09 00:45:00,149,29.8,2.0134228187919465,10.697851102382229,0.2491619252994431,0.0,0.0,0.15634430881491823,0.0,0.2634833680759381
15,2022-05-09 00:50:00,166,33.2,1.8072289156626506,11.031694323901508,0.21837597934607159,0.018072289156626505,0.0,0.18529539846131515,0.0,0.3248185435427615
15,2022-05-09 00:55:00,184,36.8,1.6304347826086956,11.693125241237079,0.19299809718520636,0.0,0.0,0.19872400756143668,0.0,0.18899873747542248
15,2022-05-09 01:00:00,104,20.8,2.8846153846153846,10.832636055259838,0.2640434237526606,0.0,0.0,0.19212278106508876,0.0,0.28616844833976923
15,2022-05-09 01:05:00,199,39.8,1.5075376884422111,10.940904406434239,0.22653481264751654,0.0,0.0,0.17486932148178075,0.0,0.24545473364901343
15,2022-05-09 01:10:00,189,37.8,1.5873015873015872,11.148826092316526,0.2135249716641301,0.026455026455026454,0.0,0.13983371126228267,0.0,0.33032956646614486
15,2022-05-09 01:15:00,85,17.0,3.5294117647058822,9.853790572048993,0.2895656456517145,0.023529411764705882,0.0,0.1659515570934256,0.0,0.4583537534883815
15,2022-05-09 01:20:00,138,27.6,2.1739130434782608,10.992032340327189,0.2332999347114121,0.0,0.0,0.16656164671287546,0.0,0.2392354904912041
15,2022-05-09 01:25:00,162,32.4,1.8518518518518519,10.474915332725386,0.2649425462534706,0.024691358024691357,0.006172839506172839,0.15409236396890716,0.0,0.40809221264784623
15,2022-05-09 01:30:00,64,12.8,4.6875,10.571145279246782,0.268072618511211,0.0,0.0,0.16455078125,0.0,0.28500149590719615
15,2022-05-09 01:35:00,124,24.8,2.4193548387096775,10.655074217391832,0.24490536391207315,0.008064516129032258,0.0,0.17351716961498437,0.0,0.30940622380246063
15,2022-05-09 01:40:00,176,35.2,1.7045454545454546,10.948279547695456,0.22253960701792577,0.005681818181818182,0.0,0.18524018595041325,0.0,0.2735482860783003
15,2022-05-09 01:45:00,75,15.0,4.0,10.52491344964543,0.2559401471265291,0.02666666666666667,0.0,0.20177777777777778,0.0,0.42869315611668446
15,2022-05-09 01:50:00,124,24.8,2.4193548387096775,11.223923594778462,0.2221762176198393,0.0,0.0,0.2146201873048907,0.0,0.2440141383809256
15,2022-05-09 01:55:00,138,27.6,2.1739130434782608,11.369321515344367,0.21023513133557123,0.0,0.0,0.20888468809073724,0.0,0.2237257933099089
15,2022-05-09 02:00:00,74,14.8,4.054054054054054,10.856860257286083,0.2349508491032479,0.0,0.0,0.15303140978816657,0.0,0.23559826557333072
