file_path,data_family,source_area,column_name,sample_value,is_time_candidate,is_intersection_candidate,is_vehicle_id_candidate
data/안산시_교차로_15_16_22년5월9일_월요일/교통량(개별차량기반)/교차로_15/20220509/10015120220509000000tra.csv,individual_vehicle_csv,15+16,tl,1.0,False,False,False
data/안산시_교차로_15_16_22년5월9일_월요일/교통량(개별차량기반)/교차로_15/20220509/10015120220509001500tra.csv,individual_vehicle_csv,15+16,unix_time,1652022900,True,False,False
data/안산시_교차로_15_16_22년5월9일_월요일/교통량(개별차량기반)/교차로_15/20220509/10015120220509001500tra.csv,individual_vehicle_csv,15+16,vhcl_id,motorcycle_1652022900_1652022900_0,False,False,True
data/안산시_교차로_15_16_22년5월9일_월요일/교통량(개별차량기반)/교차로_15/20220509/10015120220509001500tra.csv,individual_vehicle_csv,15+16,stdr_ymd,20220509,True,False,False
data/안산시_교차로_15_16_22년5월9일_월요일/교통량(개별차량기반)/교차로_15/20220509/10015120220509001500tra.csv,individual_vehicle_csv,15+16,stdr_hm,15,True,False,False
data/안산시_교차로_15_16_22년5월9일_월요일/교통량(개별차량기반)/교차로_15/20220509/10015120220509001500tra.csv,individual_vehicle_csv,15+16,stdr_ss,0,True,False,False
data/안산시_교차로_15_16_22년5월9일_월요일/교통량(개별차량기반)/교차로_15/20220509/10015120220509001500tra.csv,individual_vehicle_csv,15+16,lon,126.95114742355436,False,False,False
data/안산시_교차로_15_16_22년5월9일_월요일/교통량(개별차량기반)/교차로_15/20220509/10015120220509001500tra.csv,individual_vehicle_csv,15+16,lat,37.3931867588403,False,False,False
data/안산시_교차로_15_16_22년5월9일_월요일/교통량(개별차량기반)/교차로_15/20220509/10015120220509001500tra.csv,individual_vehicle_csv,15+16,alt,0.0,False,False,False
data/안산시_교차로_15_16_22년5월9일_월요일/교통량(개별차량기반)/교차로_15/20220509/10015120220509001500tra.csv,individual_vehicle_csv,15+16,spd,0.0,False,False,False
data/안산시_교차로_15_16_22년5월9일_월요일/교통량(개별차량기반)/교차로_15/20220509/10015120220509001500tra.csv,individual_vehicle_csv,15+16,allowed_spd,14.723400000000002,False,False,False
data/안산시_교차로_15_16_22년5월9일_월요일/교통량(개별차량기반)/교차로_15/20220509/10015120220509001500tra.csv,individual_vehicle_csv,15+16,agl,157.4824305681782,False,False,False
data/안산시_교차로_15_16_22년5월9일_월요일/교통량(개별차량기반)/교차로_15/20220509/10015120220509001500tra.csv,individual_vehicle_csv,15+16,slp,0.0,False,False,False
data/안산시_교차로_15_16_22년5월9일_월요일/교통량(개별차량기반)/교차로_15/20220509/10015120220509001500tra.csv,individual_vehicle_csv,15+16,vhcl_typ,6,False,False,True
data/안산시_교차로_15_16_22년5월9일_월요일/교통량(개별차량기반)/교차로_15/20220509/10015120220509001500tra.csv,individual_vehicle_csv,15+16,from_inter_id,,False,True,False
data/안산시_교차로_15_16_22년5월9일_월요일/교통량(개별차량기반)/교차로_15/20220509/10015120220509001500tra.csv,individual_vehicle_csv,15+16,to_inter_id,,False,True,False
data/안산시_교차로_15_16_22년5월9일_월요일/교통량(개별차량기반)/교차로_15/20220509/10015120220509001500tra.csv,individual_vehicle_csv,15+16,dist2to_inter,0.0,False,True,False
data/안산시_교차로_15_16_22년5월9일_월요일/교통량(개별차량기반)/교차로_15/20220509/10015120220509001500tra.csv,individual_vehicle_csv,15+16,turn_typ2to_inter,,False,True,False
data/안산시_교차로_15_16_22년5월9일_월요일/교통량(개별차량기반)/교차로_15/20220509/10015120220509001500tra.csv,individual_vehicle_csv,15+16,edge_grp_id,,False,False,False
data/안산시_교차로_15_16_22년5월9일_월요일/교통량(개별차량기반)/교차로_15/20220509/10015120220509001500tra.csv,individual_vehicle_csv,15+16,edge_id,478555775_01,False,False,False
data/안산시_교차로_15_16_22년5월9일_월요일/교통량(개별차량기반)/교차로_15/20220509/10015120220509001500tra.csv,individual_vehicle_csv,15+16,lane_id,478555775_01_0,False,False,False
data/안산시_교차로_15_16_22년5월9일_월요일/교통량(개별차량기반)/교차로_15/20220509/10015120220509001500tra.csv,individual_vehicle_csv,15+16,seg_id,478555775_01_0_001,False,False,False
data/안산시_교차로_15_16_22년5월9일_월요일/교통량(개별차량기반)/교차로_15/20220509/10015120220509001500tra.csv,individual_vehicle_csv,15+16,nxt_inter_id,215173,False,True,False
data/안산시_교차로_15_16_22년5월9일_월요일/교통량(개별차량기반)/교차로_15/20220509/10015120220509001500tra.csv,individual_vehicle_csv,15+16,dist2nxt_inter,475.38000000000005,False,True,False
data/안산시_교차로_15_16_22년5월9일_월요일/교통량(개별차량기반)/교차로_15/20220509/10015120220509001500tra.csv,individual_vehicle_csv,15+16,turn_typ2nxt_inter,s,False,True,False
data/안산시_교차로_15_16_22년5월9일_월요일/교통량(개별차량기반)/교차로_15/20220509/10015120220509001500tra.csv,individual_vehicle_csv,15+16,nxt_inter_sig_st,y,False,True,False
data/안산시_교차로_15_16_22년5월9일_월요일/교통량(개별차량기반)/교차로_15/20220509/10015120220509001500tra.csv,individual_vehicle_csv,15+16,nxt_inter_phs_no,16.0,False,True,False
data/안산시_교차로_15_16_22년5월9일_월요일/교통량(개별차량기반)/교차로_15/20220509/10015120220509001500tra.csv,individual_vehicle_csv,15+16,que_all,1,False,False,False
data/안산시_교차로_15_16_22년5월9일_월요일/교통량(개별차량기반)/교차로_15/20220509/10015120220509001500tra.csv,individual_vehicle_csv,15+16,que_200,1,False,False,False
data/안산시_교차로_15_16_22년5월9일_월요일/교통량(개별차량기반)/교차로_15/20220509/10015120220509001500tra.csv,individual_vehicle_csv,15+16,que_200_500,2,False,False,False
data/안산시_교차로_15_16_22년5월9일_월요일/교통량(개별차량기반)/교차로_15/20220509/10015120220509001500tra.csv,individual_vehicle_csv,15+16,que_500,2,False,False,False
data/안산시_교차로_15_16_22년5월9일_월요일/교통량(개별차량기반)/교차로_15/20220509/10015120220509001500tra.csv,individual_vehicle_csv,15+16,tl,1.0,False,False,False
data/안산시_교차로_15_16_22년5월9일_월요일/교통량(개별차량기반)/교차로_15/20220509/10015120220509003000tra.csv,individual_vehicle_csv,15+16,unix_time,1652023860,True,False,False
