intersection_group,inter_id,movement,char_index,phase,start_sec,end_sec,duration_sec,state
15,215173,3,2,phase_56,1677.0,1680.0,3.0,yellow
15,215173,3,2,phase_57,1680.0,1737.0,57.0,red
15,215173,3,2,phase_58,1737.0,1740.0,3.0,red
15,215173,3,2,phase_59,1740.0,1797.0,57.0,red
15,215173,3,2,phase_60,1797.0,1800.0,3.0,green
15,215173,3,2,phase_61,1800.0,1857.0,57.0,green
15,215173,3,2,phase_62,1857.0,1860.0,3.0,red
15,215173,3,2,phase_63,1860.0,1917.0,57.0,red
15,215173,3,2,phase_64,1917.0,1920.0,3.0,red
15,215173,3,2,phase_65,1920.0,1977.0,57.0,red
15,215173,3,2,phase_66,1977.0,1980.0,3.0,yellow
15,215173,3,2,phase_67,1980.0,2037.0,57.0,red
15,215173,3,2,phase_68,2037.0,2040.0,3.0,red
15,215173,3,2,phase_69,2040.0,2097.0,57.0,red
15,215173,3,2,phase_70,2097.0,2100.0,3.0,red
15,215173,3,2,phase_71,2100.0,2157.0,57.0,green
15,215173,3,2,phase_72,2157.0,2160.0,3.0,yellow
15,215173,3,2,phase_73,2160.0,2217.0,57.0,red
15,215173,3,2,phase_74,2217.0,2220.0,3.0,red
15,215173,3,2,phase_75,2220.0,2277.0,57.0,red
15,215173,3,2,phase_76,2277.0,2280.0,3.0,green
15,215173,3,2,phase_77,2280.0,2337.0,57.0,green
15,215173,3,2,phase_78,2337.0,2340.0,3.0,red
15,215173,3,2,phase_79,2340.0,2397.0,57.0,red
15,215173,3,2,phase_80,2397.0,2400.0,3.0,red
15,215173,3,2,phase_81,2400.0,2457.0,57.0,red
15,215173,3,2,phase_82,2457.0,2460.0,3.0,yellow
15,215173,3,2,phase_83,2460.0,2517.0,57.0,red
15,215173,3,2,phase_84,2517.0,2520.0,3.0,red
15,215173,3,2,phase_85,2520.0,2577.0,57.0,red
15,215173,3,2,phase_86,2577.0,2580.0,3.0,red
15,215173,3,2,phase_87,2580.0,2637.0,57.0,green
15,215173,3,2,phase_88,2637.0,2640.0,3.0,yellow
15,215173,3,2,phase_89,2640.0,2697.0,57.0,green
15,215173,3,2,phase_90,2697.0,2700.0,3.0,red
15,215173,3,2,phase_91,2700.0,2757.0,57.0,red
15,215173,3,2,phase_92,2757.0,2760.0,3.0,green
15,215173,3,2,phase_93,2760.0,2817.0,57.0,green
15,215173,3,2,phase_94,2817.0,2820.0,3.0,red
15,215173,3,2,phase_95,2820.0,2877.0,57.0,red
15,215173,3,2,phase_96,2877.0,2880.0,3.0,red
15,215173,3,2,phase_97,2880.0,2937.0,57.0,red
15,215173,3,2,phase_98,2937.0,2940.0,3.0,yellow
15,215173,3,2,phase_99,2940.0,2997.0,57.0,red
15,215173,3,2,phase_100,2997.0,3000.0,3.0,red
15,215173,3,2,phase_101,3000.0,3057.0,57.0,red
15,215173,3,2,phase_102,3057.0,3060.0,3.0,red
15,215173,3,2,phase_103,3060.0,3117.0,57.0,green
15,215173,3,2,phase_104,3117.0,3120.0,3.0,yellow
15,215173,3,2,phase_105,3120.0,3177.0,57.0,green
15,215173,3,2,phase_106,3177.0,3180.0,3.0,red
15,215173,3,2,phase_107,3180.0,3237.0,57.0,red
15,215173,3,2,phase_108,3237.0,3240.0,3.0,green
15,215173,3,2,phase_109,3240.0,3297.0,57.0,green
15,215173,3,2,phase_110,3297.0,3300.0,3.0,red
15,215173,3,2,phase_111,3300.0,3357.0,57.0,red
15,215173,3,2,phase_112,3357.0,3360.0,3.0,red
15,215173,3,2,phase_113,3360.0,3417.0,57.0,green
15,215173,3,2,phase_114,3417.0,3420.0,3.0,yellow
15,215173,3,2,phase_115,3420.0,3477.0,57.0,red
15,215173,3,2,phase_116,3477.0,3480.0,3.0,red
15,215173,3,2,phase_117,3480.0,3537.0,57.0,red
15,215173,3,2,phase_118,3537.0,3540.0,3.0,red
15,215173,3,2,phase_119,3540.0,3597.0,57.0,green
